data_seed,training_seed,n_pixel_1d,n_layers,layer_size,sparsity,Y_max_sparse,Y_max_dense,Runtime
0,0,28,4,32,0,-17.411513473160532,-17.411510467529297,500.0663950443268
0,0,28,4,32,0.5,-21.277755782271377,-18.593765258789062,500.0601840019226
0,0,28,4,32,0.8,-18.300965043624068,-10.239006042480469,383.74875712394714
0,0,28,4,32,0.9,-18.013134213280814,-5.008694648742676,162.19256496429443
0,0,28,4,64,0,4.5689643873708885,4.568964958190918,500.1618528366089
0,0,28,4,64,0.5,-16.0080722898659,-14.879959106445312,500.11923694610596
0,0,28,4,64,0.8,-13.915296836019323,-13.121320724487305,500.12343883514404
0,0,28,4,64,0.9,-10.070797127114858,-7.5646820068359375,500.08081912994385
0,0,28,4,128,0,inf,,500.20866799354553
0,0,28,4,128,0.5,,,0.042327880859375
0,0,28,4,128,0.8,,,0.01135396957397461
0,0,28,4,128,0.9,,,0.0063631534576416016
0,0,28,5,32,0,-12.662425765728498,-12.662426948547363,500.1686611175537
0,0,28,5,32,0.5,-17.179947771143365,-12.640633583068848,500.18181800842285
0,0,28,5,32,0.8,-14.355961872721343,-5.599728107452393,500.07642912864685
0,0,28,5,32,0.9,-12.521865563370126,4.266722679138184,500.07544684410095
0,0,28,5,64,0,1.4544257547654544,1.4544274806976318,500.06298089027405
0,0,28,5,64,0.5,,,0.012195110321044922
0,0,28,5,64,0.8,-10.404628731126294,-8.296587944030762,500.15244698524475
0,0,28,5,64,0.9,-9.595953468975424,-2.6225039958953857,500.0914921760559
0,0,28,5,128,0,inf,,500.1773798465729
0,0,28,5,128,0.5,,,0.04717087745666504
0,0,28,5,128,0.8,,,0.012286901473999023
0,0,22,4,32,0,-15.091347757440563,-15.091346740722656,500.06628608703613
0,0,22,4,32,0.5,,,0.0036458969116210938
0,0,22,4,32,0.8,,,0.001940011978149414
0,0,22,4,32,0.9,,,0.001466989517211914
0,0,22,4,64,0,-16.584060797100847,-16.58405876159668,500.1109640598297
0,0,22,4,64,0.5,-16.194499155108595,-13.488788604736328,500.0852539539337
